Month,State,Year,Num_of_Arrivals
September,WA,2001,35580
October,ACT,2001,2890
October,NSW,2001,149080
October,NT,2001,7060
October,QLD,2001,102350
October,SA,2001,9310
October,TAS,2001,2480
October,Total,2001,378470
October,VIC,2001,67080
October,WA,2001,38230
November,ACT,2001,2920
November,NSW,2001,154330
November,NT,2001,4910
November,QLD,2001,97160
November,SA,2001,9240
November,TAS,2001,3140
November,Total,2001,376190
November,VIC,2001,66640
November,WA,2001,37840
December,ACT,2001,4390
December,NSW,2001,224380
December,NT,2001,4120
December,QLD,2001,124000
December,SA,2001,13860
December,TAS,2001,5090
December,Total,2001,523190
December,VIC,2001,91620
December,WA,2001,55710
January,ACT,2002,3950
January,NSW,2002,158330
January,NT,2002,4520
January,QLD,2002,90590
January,SA,2002,9260
January,TAS,2002,5090
January,Total,2002,379290
January,VIC,2002,71520
January,WA,2002,36020
February,ACT,2002,4890
February,NSW,2002,179990
February,NT,2002,4720
February,QLD,2002,102480
February,SA,2002,11830
February,TAS,2002,5620
February,Total,2002,437240
February,VIC,2002,84480
February,WA,2002,43230
